date\code,600359,603988,002400,000301,601518,600653,002761,600070,002659
2018-08-03,4.960,15.890,3.110,6.330,2.970,2.070,19.420,6.770,13.500
2018-08-02,5.100,17.190,3.460,6.370,3.030,2.250,19.880,6.880,14.200
