date\code,600069,000520,002571,002298,600246,300058,000498,603843
2018-08-07,9.480
2018-08-06,9.250,3.480,3.430,5.880,6.680,4.030,5.130,4.710
2018-08-02,9.770,3.530,3.370,5.910,6.820,4.200,5.340,5.130
2018-08-01,9.220,3.820,3.180,6.000,7.030,4.320,5.420,4.840
2018-07-31,9.000,3.890,3.160,6.040,7.180,4.530,5.640,4.400
2018-07-30,8.720,3.910,3.060,6.000,7.110,4.460,5.530,4.600
2018-07-27,8.960,4.040,3.140,6.070,7.300,4.540,5.650,4.640
2018-07-26,9.960,4.160,3.270,6.240,7.590,4.390,6.010,5.050
